Career,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10,skill11,skill12,skill13,skill14,skill15,skill16,skill17,skill18,skill19,skill20,skill21,skill22,skill23,skill24,skill25,skill26,skill27,skill28,skill29,skill30,skill31,skill32,skill33,skill34,skill35,skill36,skill37
UX/UI Designer,Graphic Design, Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, Cybersecurity, Database Development, Network Security, Problem Solving and Analysis, Operating Systems and Networking, System Design, Software Quality Testing, API Testing, Performance Testing, Internet of Things, API Knowledge, Cloud Computing, Search Engine Optimization (SEO), Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing, Software Testing Related Work, Image Processing, Working with new idea,,,,,,,,,,,,,,
Data Scientist,Data Engineering, Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Blockchain, Digital Health, Data Engineering, Cyberntec, Technology Panel, Iron Throwing, Working with New Idea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Artificial Intelligence (AI), Data Analysis and Visualization, Cybersecurity, Database Development, Network Security, Data Structure, Communication, Web based project develop, System Design, Cloud Computing, Software Quality Assurance, Api testing, Project Management, Illustration and Design,,,,,,,,,,,,,,,,,,,,,,
Cloud Engineer,Cloud Computing, Network Security, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Blockchain technology, Artificial Intelligence (AI), Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualization, Cryptogragphies of Delivery, Network Topologies, Network Security, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Web based project develop, Android App Develop,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Data Engineering, Statistical Analysis, Data Analysis and Visualization, Problem Solving and Analysis, Communication, Critical Thinking, Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, Graphic Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Cryptographic Mechanism, Email Security, Network Security, Network Topologies, Computer Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Deep Learning, Problem Solving and Analysis, Cloud Computing, Working with Technology and New Idea Generate, Communication, Critical Thinking, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,UI/UX Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Deep Learning, Problem Solving and Analysis, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Problem Solving and Analysis, Cybersecurity, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Communication, Critical Thinking, Adaptability, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Artificial Intelligence (AI), Data Analysis and Visualization, Big Data Technologies, Data Engineering, Robotics Knowledge, Internet of Things, Project Management, System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Game Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Problem Solving and Analysis, Cloud Computing, Artificial Intelligence (AI) and Machine Learning, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development, Data analysis and visualization, Feature engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge, Video Editing & Animation, Critical Thinking, Adaptability, Graphic Design & Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Android Application Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Science, Data Analysis and Visualization, Feature Engagement, Data Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Operating Systems and Networking, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security, Network Topologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Mathematics, Data Analysis and Visualization, Systems Design, API Knowledge, Project Management, Database Development, API Testing, Live Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engineering, Big Data Technologies, artifical intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Data Engineering, Statistics, Big Data Technologies, Data Analysis and Visualization, Database Development, Problem Solving and Analysis, Operating Systems and Networking, Statistics, Data Analysis and Visualization, deep learning.net, data engineering,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Blockchain, Cryptograph, DRBD, Downstream Cooperation, DSN, Digital Rights, Data Policy, Communication, Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Analysis and Visualization, Cybersecurity, Database Development, Robotics Knowledge, Internet of Things, Data Structure, Communication, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development, Data Analysis and Visualization, Big Data Technologies, Data Engineering, Cloud Technology, Research on Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, API Knowledge, Software Testing Related Work, Browser Testing Related Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Feature Engineering, Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Communication, Critical Thinking, Adaptability, Web based project develop, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Database Development, Problem Solving and Analysis, Critical Thinking, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Data Analysis and Visualization, Network Security, Communication, Critical Thinking, Web Development, Artificial Intelligence (AI) and Machine Learning, Cloud Computing, Project Management, Cloud Computing, Network Topologies, Adaptability, Problem Solving and Analysis, Operating Systems and Networking, Cryptograph, Data Engineering, System Design,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Network Topologies, Network Security, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualization, Problem Solving and Analysis, Data Structure, Critical Thinking, Database Developer, Communication, Critical thinking, Adaptability, Operating System and Networking,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) and Machine Learning, Project Management, Cybersecurity, Operating Systems and Networking, Big Data Technologies, System Design, Cloud Computing, Software Quality Assurance, Api testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, Video Editing and Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solution, Data Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development, Blockchain, Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Database Development, Network Security, Network Topologies, System Design, API Testing, Robotics Knowledge, API Knowledge, Data Structure, Graphic Design, UI/UX Knowledge, Communication, Interpersonal Skills, Adaption,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engineering, Statistical Analysis, Operations Analysis, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Cybersecurity, Data Engineering, Internet of Things, Communication, Interpersonal Skills, Project Management, System Design, Cloud Computing, Software Quality Assurance, Api testing, Web based project develop, AndroidAppDevelop, UI/UX Knowledge, Film Directing, Sports Actuation, Machine Learning, Licensed Police Application Create, Search Engine Optimization (SEO),,,,,,,,,,,,,,,,
Data Scientist,Robotics Knowledge, Machine Learning, Data Engineering,problemsolve, communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,UI/UX Related Job, Working with Technology and New Idea Generate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Big Data Technologies, Cloud Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Engineering, Cybersecurity, Database Development, Network Security, Data Structure, Communication, Critical Thinking, Adaptability, Research on Artificial Intelligence and Machine learning, Web based project develop, Software Testing Related Work, Working with new idea,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Operating Systems and Networking, Computer Network, Artificial Intelligence and Machine learning, Mobility, microsoft technologies, microphones, interlocking systems, impedance, communications, critical thinking, interacting with new idea, research on artificial intelligencene,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Data Analysis and Visualization, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Database Development, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing, Web based project develop, android app develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development, Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualisation, Cryptographic Tools, Cloud Computing, Network Security, Problem Solving and Analysis, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Cryptograph, Database Development, data analysis and visualization, Big Data Technologies, DataEngineering, Feature Engineering, Statistical Analysis, Robotics Knowledge, Internet of Things, System Design, Network Topologies, Network Security,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Data Analysis and Visualization, Network Security, Communication, Critical Thinking, Artificial Intelligence (AI) and Machine Learning, Cloud Computing, Network topotes, Collaborative Working, Adaptability, Research on Cyber Security, Research on Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge, Video Editing & Animation, Critical Thinking, Adaptability, Graphic Design & Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Game Development, Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Cryptograph, Network Security, Problem Solving and Analysis, Software Quality Testing, Data Structure, Cloud Computing, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing, Web based project develop, Working with new idea, Computer Network,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Network Topologies, Network Security, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Problem Solving and Analysis, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,Game Development,Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Data Engineer, Data Analyst, data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engagement, Big Data Technologies, Data Analysis and Visualization, Cybersec, Project Management, API Knowledge, Cloud Computing, Workshop Organizer, Display Technology, Event Management, Journalism, Web based project develop, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Database Development, API Testing, API Knowledge, Web based project develop, Software Testing Related Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Problem Solving and Analysis, Data Analysis andVisualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Operating Systems and Networking, Cryptograph, System Design, Project Management, Cloud Computing, Network topologies, Network Security, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engineering, Big Data Technologies, Robotics Knowledge, Internet of Things, Project Management, Critical Thinking, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualisation, Database Development, Robotics Knowledge, Data Structure, Cloud Computing, Project Management, Critical Thinking, Interpersonal Skills, Research on Artificial Intelligence and Machine learning, Image Processing, Working with new idea,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Game Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, Data Engineering, System Design, Cloud, Computing, Software Quality Assurance, Api testing, Research on Artificial Intelligence and Machine learning, Image Processing, Working with new ideas,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, problem solver, leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,UI/UX Knowledge, Graphic Design, Video Editing andannotations, Illustration and Design, Working with Graphics and design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Robotics Knowledge, Internet of Things, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Database Development, System Design, Project Management, API Knowledge,cloud computing,UI/UX Knowledge,Android App Develop,Enterprise, System Design,,,,,,,,,,,,,,,,,,,,,,,,,,
